ID,Basic data and indicators,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
60,Total arrivals,,VF,557,570,562,558,549,539,458,484,483,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766,805,51,86,549
60,Overnights visitors (tourists),2/,TF,387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,270,282,269,42,72,146
60,Same-day visitors (excursionists),,,170,182,182,188,194,207,180,200,226,206,247,336,354,286,318,348,416,378,340,356,377,398,418,484,536,9,14,403
60,of which cruise passengers,,,170,182,182,188,194,207,180,200,226,206,247,336,354,286,318,348,416,378,340,356,377,398,418,484,536,9,14,403
64,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
64,Overnights visitors (tourists),1/,TF,5,5,5,6,7,8,6,6,6,9,14,17,21,28,23,41,66,105,116,133,155,210,255,274,316,30,0.001,20.9
64,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
64,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
68,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
68,Overnights visitors (tourists),,TF,284,313,355,387,342,319,316,334,427,480,524,521,573,530,599,679,711,798,798,871,882,961,1109,1142,1239,323,180,724
68,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
68,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
534,Total arrivals,,VF,70,80,86,85,78,96,94,94,107,116,103,126,172,250,280,297,..,..,..,..,..,..,..,..,..,..,..,..
534,Overnights visitors (tourists),,TF,59,65,63,62,61,51,50,52,62,63,63,64,74,74,67,71,..,..,..,..,..,..,..,..,..,..,..,..
534,Same-day visitors (excursionists),,,11,15,23,23,17,45,44,42,45,53,40,62,98,176,213,226,..,..,..,..,..,..,..,..,..,..,..,..
534,of which cruise passengers,,,11,15,20,20,15,44,43,42,45,53,40,62,98,176,213,226,..,..,..,..,..,..,..,..,..,..,..,..
70,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
70,Overnights visitors (tourists),,TCE,..,..,115,148,147,171,139,160,165,190,217,256,306,322,311,365,392,439,529,536,678,778,923,1053,1198,197,502,915
70,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
70,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
72,Total arrivals,,VF,636,656,765,940,1039,1306,1451,1485,1592,1727,1684,1642,1965,2344,..,..,..,..,..,..,1660,1712,1775,1830,1555,358,338,..
72,Overnights visitors (tourists),,TF,521,512,607,750,843,1104,1193,1274,1406,1523,1474,1426,1736,2101,1721,1973,..,1614,1544,1966,1528,1574,1623,1655,1455,329,314,..
72,Same-day visitors (excursionists),,,115,144,158,190,196,202,257,211,187,204,210,216,229,243,..,..,..,..,..,..,132,138,152,176,101,30,24,..
72,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
76,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
76,Overnights visitors (tourists),1/,TF,1991,2666,2850,4818,5107,5313,4773,3785,4133,4794,5358,5017,5026,5050,4802,5161,5433,5677,5813,6430,6306,6547,6589,6621,6353,2146,746,3630
76,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
76,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
92,Total arrivals,,VF,365,412,365,392,484,519,535,544,614,813,821,825,948,934,857,842,831,753,742,773,922,1124,..,..,895,..,..,..
92,Overnights visitors (tourists),,TF,219,244,244,279,284,272,296,282,278,304,337,356,358,346,309,330,338,351,366,386,393,408,335,192,302,83,56,173
92,Same-day visitors (excursionists),,,146,168,121,113,200,247,239,262,336,509,483,469,590,588,548,512,493,402,376,387,529,717,..,..,593,..,..,..
92,of which cruise passengers,,,122,160,105,105,182,197,202,230,304,467,449,444,575,572,530,501,485,391,367,361,516,699,410,201,575,219,70,344
96,Total arrivals,,VF,498,837,643,964,967,984,840,891,944,..,815,836,877,..,..,..,..,..,..,..,..,4257,4316,4521,4449,1071,110,..
96,Overnights visitors (tourists),1/,TF,..,..,..,..,..,..,..,..,..,119,126,158,179,226,157,214,242,209,225,201,218,219,259,278,333,62,4,..
96,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,11,19,15,2,..,..
96,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,4,1,..,..,..,..,..,..,..,..,..,25,11,19,15,2,..,..
100,Total arrivals,,VF,8005,6811,7543,5240,5056,4922,5104,5563,6241,6982,7282,7499,7726,8533,7873,8374,8713,8867,9192,9409,9317,10604,11596,12368,12552,4973,7188,10888
100,Overnights visitors (tourists),,TF,3466,2795,2980,2667,2472,2785,3186,3433,4048,4630,4837,5158,5151,5780,5739,6047,6328,6541,6898,7311,7099,8252,8883,9273,7775,1290,2300,5557
100,Same-day visitors (excursionists),1/,,4539,4016,4563,2573,2584,2137,1918,2130,2193,2352,2445,2341,2574,2753,2134,2327,2385,2326,2294,2098,2218,2352,2713,3095,4777,3683,4888,5332
100,of which cruise passengers,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
854,Total arrivals,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
854,Overnights visitors (tourists),,THS,124,131,138,160,117,126,128,150,163,222,245,264,289,272,269,274,238,237,218,191,163,152,143,144,143,67,106,116
854,Same-day visitors (excursionists),,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
